Country ID,Country,"Time series - Total N2O emissions, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N2O emissions, latest year",% change since 1990,"N2O emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
208,Denmark,27.42,26.89,26.05,25.26,24.98,24.75,23.58,23.69,23.85,24.08,23.88,23.22,23.00,22.59,21.14,19.00,18.55,19.15,19.13,18.46,18.13,18.11,17.81,17.79,18.12,18.15,18.66,18.86,18.19,2018,18.19,-33.65,0.003
262,Djibouti,...,...,...,...,0.57,...,...,...,...,...,449.50,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,449.50,...,0.626
212,Dominica,...,...,...,...,13.07,...,...,...,...,...,36.45,33.48,31.31,33.17,23.56,30.07,2.36,2.39,2.42,2.39,2.39,2.39,2.39,2.39,2.36,2.36,2.36,2.29,...,2017,2.29,...,0.032
214,Dominican Republic,838.24,...,...,...,778.78,...,...,...,"2,819.45",...,"3,179.98",...,...,...,...,...,...,...,...,...,"3,483.66",...,...,...,...,...,...,...,...,2010,"3,483.66",315.59,0.359
218,Ecuador,"1,51,345.10",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"7,351.46",...,"7,382.68",...,...,...,...,...,...,2012,"7,382.68",-95.12,0.477
818,Egypt,"10,329.82",...,...,...,...,...,...,...,...,...,"24,445.67",...,...,...,...,"28,933.94",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"28,933.94",180.10,0.383
222,El Salvador,...,...,...,...,"4,094.48",...,...,...,...,...,...,...,...,...,...,"1,646.10",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,"1,646.10",...,0.272
232,Eritrea,...,...,...,...,"1,866.20",...,...,...,...,...,310.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,310.00,...,0.135
233,Estonia,4.93,4.80,3.99,3.12,2.82,2.57,2.43,2.46,2.54,2.24,2.29,2.25,2.17,2.34,2.46,2.47,2.43,2.65,2.84,2.68,2.73,2.74,2.91,2.92,3.02,3.10,3.02,3.10,3.06,2018,3.06,-37.89,0.002
748,Eswatini,...,...,...,...,414.62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,414.62,...,0.457
